Grid mode: 250 periods in [0.1, 200] yr, 5 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.3, Best Cost Accept Factor = 1.5
  [115/250] P =    91.62 yr, a" = 9.269  e = 0.485, M = 1.744 Msun  cost = 0.0004283495290242164
  [116/250] P =    92.42 yr, a" = 9.316  e = 0.486, M = 1.740 Msun  cost = 0.00043541100277229636
  [117/250] P =    93.23 yr, a" = 9.362  e = 0.487, M = 1.736 Msun  cost = 0.0004424390814413308
  [118/250] P =    94.03 yr, a" = 9.409  e = 0.488, M = 1.732 Msun  cost = 0.0004494328710407345
  [119/250] P =    94.83 yr, a" = 9.456  e = 0.489, M = 1.729 Msun  cost = 0.0004563915747881421
  [120/250] P =    95.63 yr, a" = 9.503  e = 0.489, M = 1.725 Msun  cost = 0.00046331446338525713
  [121/250] P =    96.44 yr, a" = 9.551  e = 0.490, M = 1.722 Msun  cost = 0.00047020088153399136
  [122/250] P =    97.24 yr, a" = 9.598  e = 0.491, M = 1.719 Msun  cost = 0.00047705024141700273
  [123/250] P =    98.04 yr, a" = 9.645  e = 0.492, M = 1.716 Msun  cost = 0.0004838620173862858
  [124/250] P =    98.85 yr, a" = 9.692  e = 0.493, M = 1.713 Msun  cost = 0.0004906357423065357
  [125/250] P =    99.65 yr, a" = 9.739  e = 0.494, M = 1.710 Msun  cost = 0.0004973710033640154
  [126/250] P =   100.45 yr, a" = 9.786  e = 0.495, M = 1.707 Msun  cost = 0.0005040674395796453
  [127/250] P =   101.25 yr, a" = 9.833  e = 0.496, M = 1.705 Msun  cost = 0.0005107247330074913
  [128/250] P =   102.06 yr, a" = 9.880  e = 0.497, M = 1.702 Msun  cost = 0.0005173426162681296
  [129/250] P =   102.86 yr, a" = 9.927  e = 0.498, M = 1.700 Msun  cost = 0.0005239208588474378
  [130/250] P =   103.66 yr, a" = 9.974  e = 0.499, M = 1.698 Msun  cost = 0.0005304592698113351
